name,date of birth,country of citizenship,sex or gender,AGORHA person/institution ID,Academic Tree ID,Australian Dictionary of Biography ID,BAV ID,BHL creator ID,BIBSYS ID,BNA authority ID,BNE ID,BVMC person ID,Babelio author ID,Bait La Zemer Ha-Ivri artist ID,Biografisch Portaal number,BnF ID,British Museum person-institution,C-SPAN person ID,CANTIC-ID,CERL ID,CONOR ID,CRIStin ID,CTHS person ID,Cambridge Alumni Database ID,Catalogus Professorum Academiae Rheno-Traiectinae ID,Catalogus Professorum Lipsiensis ID,Catalogus Professorum Rostochiensium ID,CiNii author ID,Commons Creator page,Commons category,Commons gallery,Cultureel Woordenboek identifier,DAAO ID,DBLP ID,DBNL author ID,Dialnet author ID,Dictionary of New Zealand Biography,Dictionary of Swedish National Biography,Dictionary of Welsh Biography ID,Discogs artist ID,Dizionario Biografico degli Italiani,EGAXA ID,EMLO person ID,ESPNcricinfo.com player ID,Electronic Enlightenment ID,Enciclopedia Treccani ID,Encyclopedia of Australian Science ID,Encyclopædia Britannica Online ID,Erdős number,FAST ID,Facebook profile ID,Fellow of the Royal Society ID,Filmportal ID,Find a Grave grave ID,Freebase ID,GND ID,GTAA ID,Geni.com profile ID,Goodreads author ID,Google Scholar author ID,Gran Enciclopèdia Catalana ID,Great Russian Encyclopedia Online ID,HDS ID,Hansard (1803–2005) ID,History of Modern Biomedicine ID,History of Parliament ID,IMDb ID,IPA transcription,IPNI author ID,ISNI,InPhO ID,Italian Chamber of Deputies dati ID,Jewish Encyclopedia ID (Russian),KNAW past member ID,KVAB member ID,Kindred Britain ID,LAC ID,LNB ID,Legacies of British Slave-ownership person ID,Leidse Hoogleraren ID,Leopoldina member ID,Les Archives du Spectacle ID,Library of Congress authority ID,LibriVox author ID,Loop ID,Léonore ID,MacTutor id (biographies),Marburger Professorenkatalog ID,MathWorld identifier,Mathematics Genealogy Project ID,Munk's Roll ID,Munzinger IBA,MusicBrainz artist ID,Musée d'Orsay artist ID,NDL Auth ID,NE.se ID,NKCR AUT ID,NLA (Australia) ID,NLP ID,NLR (Romania) ID,NNDB people ID,NSK ID,NSZL ID,NUKAT (WarsawU) authorities,National Academy of Medicine (France) MemberID,National Inventors Hall of Fame ID,National Library of Greece ID,National Library of Ireland authority,National Library of Israel ID,National Portrait Gallery (London) person ID,National Thesaurus for Author Names ID,Nobel Prize People Nomination ID,Nobel prize ID,ODIS ID,ORCID iD,Open Library ID,OpenPlaques subject ID,Oxford Biography Index Number,PTBNP ID,Parlement & Politiek ID,People Australia ID,Perlentaucher ID,Persée author ID,Photographers' Identities Catalog ID,Plarr ID,Polish scientist ID,Project Gutenberg author ID,Quora topic ID,RERO ID,RKDartists ID,RSL ID (person),RePEc Short-ID,ResearcherID,Rodovid ID,SBN ID,SELIBR,SHARE Catalogue author ID,SNAC ID,SSRN author ID,SUDOC authorities,Sandrart.net person ID,Saxon Academy of Sciences member ID,Scopus Author ID,Shakeosphere person ID,Six Degrees of Francis Bacon ID,Social Networks and Archival Context ID,Spenserians person ID,Sports-Reference.com Olympic athlete ID,Stanford Encyclopedia of Philosophy ID,Stuttgart Database of Scientific Illustrators ID,Swiss Federal Archives ID,Sächsische Biografie,TED speaker ID,Te Papa artist ID,Teuchos ID,Treccani ID,Twitter username,UK National Archives ID,ULAN ID,University of Barcelona authority ID,VIAF ID,Vimeo username,WeRelate person ID,Who's Who in France biography ID,WikiTree ID,WomenWriters ID,World Bridge Federation ID,YouTube channel ID,academic degree,affiliation,allegiance,archives at,audio recording of the subject's spoken voice,author citation (zoology),award received,birth name,botanist author abbreviation,cause of death,child,commemorative plaque image,conflict,contributed to published work,date of death,described at URL,described by source,doctoral advisor,doctoral student,educated at,electoral district,employer,ethnic group,family name,father,feed URL,field of work,genealogics.org person ID,given name,image,image of grave,influenced by,instance of,"languages spoken, written or signed",links,list of works,manner of death,medical condition,member of,member of political party,member of sports team,military branch,mother,name in kana,name in native language,native language,noble title,nominated for,notable work,occupation,official website,openMLOL author ID,parliament.uk ID,part of,participant of,place of birth,place of death,place of detention,place of interment,place of origin (Switzerland),position held,religion,residence,sibling,signature,significant event,sport,spouse,student,student of,student register of the University of Helsinki ID (1853–1899),taxon range map image,topic's main category,warheroes.ru ID,work location,zbMATH author ID
"Visman, Jan",[2 July 1914Gregorian],[Kingdom of the Netherlands],[male],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[2006],NA,NA,NA,NA,[Delft University of Technology],NA,NA,NA,NA,NA,NA,NA,NA,[Jan],NA,NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q6150134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[statistician],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Giblin, Lyndhurst",[29 November 1872Gregorian],"[United Kingdom, Australia]",[male],NA,NA,[giblin-lyndhurst-falkiner-6303],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[1820496],NA,NA,NA,NA,NA,[171850432],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0000 0000 6400 9996],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[no95047167],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[099118890],NA,NA,NA,NA,NA,[w6p85n10],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[43885886],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Distinguished Service Order],NA,NA,NA,NA,NA,[World War I],NA,[1 March 1951],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[human],[English],https://www.wikidata.org/wiki/Special:EntityPage/Q6708659,NA,NA,NA,NA,NA,"[England national rugby union team, 13 March 1897Gregorian, 3±0, 4 January 1896Gregorian, 284, 0±0]",NA,NA,NA,NA,NA,NA,NA,NA,"[mathematician, economist, explorer, statistician, rugby union player]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erlang, A. K.",[1 January 1878Gregorian],[Denmark],[male],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[/m/012ct],[1014009553],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0000 0003 5638 2899],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Erlang],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[343041227],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[185883],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[184427501],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[3 February 1929Gregorian],NA,NA,NA,NA,[University of Copenhagen],NA,NA,NA,NA,NA,NA,[queueing theory],NA,NA,[Erlang.jpg],NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q394423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[mathematician, engineer, statistician]",NA,NA,NA,NA,NA,[Denmark],[Copenhagen],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fabri, Johann Ernst",[16 July 1755Gregorian],[Germany],[male],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[cnp01263476],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[/m/05f9w9g],[11536028X],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0000 0001 0990 3247],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[nr89002109],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[07083959X],NA,NA,NA,NA,[OL5668446A],NA,NA,NA,NA,[1460497],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[177804440],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[77043537],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[30 May 1825Gregorian],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Johann],NA,NA,NA,[human],[German],https://www.wikidata.org/wiki/Special:EntityPage/Q328314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[author, geographer, statistician, university teacher, writer]",NA,NA,NA,NA,NA,[Oleśnica],[Erlangen],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Erlangen],NA
"Malthus, Thomas Robert","[14 February 1766Gregorian, 13 February 1766Gregorian]",[United Kingdom of Great Britain and Ireland],[male],NA,NA,NA,[ADV10917389],NA,NA,[000026144],[XX844466],NA,[193507],NA,NA,[122778124],NA,NA,[a10405586],[cnp00395728],NA,NA,NA,[MLTS784TR],NA,NA,NA,NA,NA,[Thomas Malthus],[Thomas Malthus],[economie/thomas-robert-malthus],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[biography/Thomas-Robert-Malthus],NA,[31794],NA,NA,NA,[21117],[/m/07r3d],[118576860],NA,NA,NA,NA,[0039618],NA,[17430],NA,NA,NA,NA,NA,NA,[0000 0001 1034 5190],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[57113],[n79021716],[5203],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[00448640],[thomas-robert-malthus],[ola2003172347],[35324856],NA,[RUNLRAUTH7778529],[250/000024178],NA,NA,[n97003803],NA,NA,[62800],NA,NA,[mp62731],[068469845],NA,NA,NA,NA,[OL5318813A],NA,[101017902],[75779],NA,NA,NA,NA,NA,NA,NA,[1411],[Thomas-Malthus],NA,NA,NA,NA,NA,NA,NA,[209301],NA,[w6sx6h16],NA,[031593410],NA,NA,NA,[42089],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[71154],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Fellow of the Royal Society],[Thomas Robert Malthus (English)],NA,NA,NA,NA,NA,NA,"[29 December 1834Gregorian, 23 December 1834Gregorian]",NA,"[Larousse Encyclopedia online, http://www.larousse.fr/encyclopedie/personnage/Thomas_Robert_Malthus/131394, Great Soviet Encyclopedia (1969–1978), Мальтус Томас Роберт, Krugosvet, http://krugosvet.ru/enc/gumanitarnye_nauki/ekonomika_i_pravo/MALTUS_TOMAS_ROBERT.html, Dictionary of National Biography (1885-1900), Malthus, Thomas Robert, Armenian Soviet Encyclopedia, 7, 157, Biblioteca Europea di Informazione e Cultura, http://digitale.beic.it/primo_library/libweb/action/search.do?fn=search&vid=BEIC&vl%28freeText0%29=Malthus_Thomas_Robert, Malthus, Thomas Robert 1766-1834, Small Brockhaus and Efron Encyclopedic Dictionary, Q24765695, Brockhaus and Efron Encyclopedic Dictionary, Q24463351]",NA,NA,[Jesus College],NA,NA,NA,NA,NA,NA,NA,NA,[Thomas],[Thomas Robert Malthus.jpg],NA,NA,[human],[English],https://www.wikidata.org/wiki/Special:EntityPage/Q13526,NA,NA,NA,"[Royal Society, Russian Academy of Sciences]",NA,NA,NA,NA,NA,[Thomas Malthus (English)],NA,NA,NA,NA,"[economist, essayist, statistician, demographer, Anglican priest, sociologist, hooligan]",NA,"[22750, 36794, 106443]",NA,NA,NA,"[Westcott, Surrey]",[Bath],NA,NA,NA,NA,[Anglicanism],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pink, Brian",NA,[Australia],[male],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Brian],NA,NA,NA,[human],[English],https://www.wikidata.org/wiki/Special:EntityPage/Q16734552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[statistician],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Australian Statistician, 5 March 2007, 12 January 2014, Dennis Trewin, David Kalisch]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Olshansky, S. Jay",[22 February 1954],[United States of America],[male],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[123733448],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0000 0001 0965 9117],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[338292772],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[069090432],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[40980640],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Michigan State University],NA,NA,NA,NA,NA,NA,NA,NA,[S.],NA,NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q7387557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[statistician, sociologist, demographer]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roberts, Harry V.",[1923],[United States of America],[male],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[14563476w],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[136178367],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0000 0001 0963 2109],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[n81024696],NA,NA,NA,NA,NA,NA,[200080],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[102192812],NA,NA,NA,NA,NA,[w6xj2cts],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[32239497],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[2004],NA,NA,NA,NA,[University of Chicago],NA,NA,NA,NA,NA,NA,NA,NA,[Harry],NA,NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q5672976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[statistician],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Breiman, Leo",[27 January 1928Gregorian],[United States of America],[male],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[/m/0ctqb6],[136421229],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0000 0001 1511 6995],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[32157],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[45297],NA,NA,[057275750],NA,NA,NA,NA,NA,[w6v16508],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[80767578],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[5 July 2005],NA,NA,[Michel Loève],NA,"[University of California, Berkeley]",NA,"[University of California, Berkeley]",NA,NA,NA,NA,[mathematical statistics],NA,[Leo],NA,NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q931461,NA,NA,NA,"[National Academy of Sciences, American Academy of Arts and Sciences]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[mathematician, statistician, university teacher]",NA,NA,NA,NA,NA,[New York City],[Berkeley],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zellner, Arnold",[2 January 1927Gregorian],[United States of America],[male],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[124468865],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[40728],NA,NA,NA,NA,[/m/0flvhp],[170098397],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0000 0001 1591 3548],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[n79089855],NA,NA,NA,NA,NA,NA,[148660],NA,NA,NA,NA,[00461796],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[070038716],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[pze9],NA,NA,NA,NA,NA,[w6sw0cf9],NA,[033619352],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[7483129],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[11 August 2010],NA,NA,[George Kuznets],NA,[Harvard University],NA,NA,NA,NA,NA,NA,NA,NA,[Arnold],NA,NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q696610,NA,NA,NA,[American Academy of Arts and Sciences],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[economist, statistician]",NA,NA,NA,NA,NA,[New York City],[Chicago],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chand, Rattan",[10 May 1955],NA,[male],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Dr Rattan Chand.png],NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q27064014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lemon, Charles",[3 September 1784Gregorian],[United Kingdom of Great Britain and Ireland],[male],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[73587],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[lemoncharl025235],NA,NA,NA,NA,[240281],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[sir-charles-lemon],NA,"[1790-1820/member/lemon-charles-1784-1868, 1820-1832/member/lemon-sir-charles-1784-1868]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[n88068479],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[63091116],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Fellow of the Royal Society],NA,NA,NA,NA,NA,NA,NA,[13 February 1868Gregorian],NA,NA,NA,NA,[Harrow School],NA,NA,NA,NA,"[Sir William Lemon, 1st Baronet]",NA,NA,NA,[Charles],NA,NA,NA,[human],[English],https://www.wikidata.org/wiki/Special:EntityPage/Q5080191,NA,NA,NA,"[Royal Society, 4th United Kingdom Parliament, 9th United Kingdom Parliament, 10th United Kingdom Parliament, 11th United Kingdom Parliament, 12th United Kingdom Parliament, 13th United Kingdom Parliament, 14th United Kingdom Parliament, 15th United Kingdom Parliament, 16th United Kingdom Parliament]",NA,NA,NA,NA,NA,[Charles Lemon (English)],NA,[baronet],NA,NA,"[politician, statistician]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Member of Parliament in the United Kingdom],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[London],NA
"Pocock, Stuart",NA,NA,[male],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[stuart-pocock],NA,NA,NA,NA,[0000 0000 2660 9800],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[137556365],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[30906716],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Stuart],NA,NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q7626956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[statistician],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
